ZipCode,TimeZone
00501,America/New_York
00544,America/New_York
00601,America/Puerto_Rico
00602,America/Puerto_Rico
00603,America/Puerto_Rico
00604,America/Puerto_Rico
00605,America/Puerto_Rico
00606,America/Puerto_Rico
00610,America/Puerto_Rico
00611,America/Puerto_Rico
00612,America/Puerto_Rico
00613,America/Puerto_Rico
00614,America/Puerto_Rico
00616,America/Puerto_Rico
00617,America/Puerto_Rico
00622,America/Puerto_Rico
00623,America/Puerto_Rico
00624,America/Puerto_Rico
00627,America/Puerto_Rico
00631,America/Puerto_Rico
00636,America/Puerto_Rico
00637,America/Puerto_Rico
00638,America/Puerto_Rico
00641,America/Puerto_Rico
00646,America/Puerto_Rico
00647,America/Puerto_Rico
00650,America/Puerto_Rico
00652,America/Puerto_Rico
00653,America/Puerto_Rico
00656,America/Puerto_Rico
00659,America/Puerto_Rico
00660,America/Puerto_Rico
00662,America/Puerto_Rico
00664,America/Puerto_Rico
00667,America/Puerto_Rico
00669,America/Puerto_Rico
00670,America/Puerto_Rico
00674,America/Puerto_Rico
00676,America/Puerto_Rico
00677,America/Puerto_Rico
00678,America/Puerto_Rico
00680,America/Puerto_Rico
00681,America/Puerto_Rico
00682,America/Puerto_Rico
00683,America/Puerto_Rico
00685,America/Puerto_Rico
00687,America/Puerto_Rico
00688,America/Puerto_Rico
00690,America/Puerto_Rico
00692,America/Puerto_Rico
00693,America/Puerto_Rico
00694,America/Puerto_Rico
00698,America/Puerto_Rico
00703,America/Puerto_Rico
00704,America/Puerto_Rico
00705,America/Puerto_Rico
00707,America/Puerto_Rico
00714,America/Puerto_Rico
00715,America/Puerto_Rico
00716,America/Puerto_Rico
00717,America/Puerto_Rico
00718,America/Puerto_Rico
00719,America/Puerto_Rico
00720,America/Puerto_Rico
00721,America/Puerto_Rico
00723,America/Puerto_Rico
00725,America/Puerto_Rico
00726,America/Puerto_Rico
00727,America/Puerto_Rico
00728,America/Puerto_Rico
00729,America/Puerto_Rico
00730,America/Puerto_Rico
00731,America/Puerto_Rico
00732,America/Puerto_Rico
00733,America/Puerto_Rico
00734,America/Puerto_Rico
00735,America/Puerto_Rico
00736,America/Puerto_Rico
00737,America/Puerto_Rico
00738,America/Puerto_Rico
00739,America/Puerto_Rico
00740,America/Puerto_Rico
00741,America/Puerto_Rico
00742,America/Puerto_Rico
00744,America/Puerto_Rico
00745,America/Puerto_Rico
00751,America/Puerto_Rico
00754,America/Puerto_Rico
00757,America/Puerto_Rico
00765,America/Puerto_Rico
00766,America/Puerto_Rico
00767,America/Puerto_Rico
00769,America/Puerto_Rico
00771,America/Puerto_Rico
00772,America/Puerto_Rico
00773,America/Puerto_Rico
00775,America/Puerto_Rico
00777,America/Puerto_Rico
00778,America/Puerto_Rico
00780,America/Puerto_Rico
00782,America/Puerto_Rico
00783,America/Puerto_Rico
00784,America/Puerto_Rico
00785,America/Puerto_Rico
00786,America/Puerto_Rico
00791,America/Puerto_Rico
